,S.no,zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,taxAssessedValue,lotAreaValue,lotAreaUnit,Bedrooms,Bathrooms,Full_bathrooms,Flooring,Heating_features,Cooling_features,Appliances_included,Laundry_features,Total_structure_area,Total_interior_livable_area,Fireplace_features,Parking_features,Stories,Pool_features,Lot_features,Home_type,Architectural_style,Property_subType,Roof,Year_built,Sewer_information,Water_information,Region,Interior_features,Total_number_of_fireplaces,Total_spaces,Garage_spaces,Covered_spaces,Livability,Crime,Employment,Housing,Schools
10,11,2071614822,"Plan 5 Plan, Compass at Bay37",94501,Alameda,CA,37.791397,-122.27979,1200990,3,2,1714,CONDO,-1,1200990,4450,,0,,2,3,3,,,,,,1714," 1,714 sqft",,,,,, Condo,,,,,,, Alameda,,,2,,,74,D+,B,B-,B
11,12,2071614816,"Plan 3A Plan, Lookout at Bay37",94501,Alameda,CA,37.78971,-122.27929,820990,2,2,1066,TOWNHOUSE,-1,820990,2179,,0,,2,2,1,,,,,,1066," 1,066 sqft",,,,,, Townhouse,,,,,,, Alameda,,,1,,,74,D+,B,B-,B
12,13,2071614825,"Plan 3 Plan, Compass at Bay37",94501,Alameda,CA,37.791397,-122.27979,1075990,2,2,1553,CONDO,-1,1075990,4243,,0,,2,2,2,,,,,,1553," 1,553 sqft",,,,,, Condo,,,,,,, Alameda,,,2,,,74,D+,B,B-,B
13,14,2071614821,"Plan 2 Plan, Lookout at Bay37",94501,Alameda,CA,37.78971,-122.27929,860990,2,2,1138,TOWNHOUSE,-1,900500,4243,,0,,2,2,1,,,,,,1138," 1,138 sqft",,,,,, Townhouse,,,,,,, Alameda,,,2,,,74,D+,B,B-,B
14,15,2071614826,"Plan 2 Plan, Breeze at Bay37",94501,Alameda,CA,37.790928,-122.28036,1916948,4,4,2576,SINGLE_FAMILY,-1,1956530,4243,,0,,4,4,3,,,,,,2576," 2,576 sqft",,,,,, SingleFamily,,,,,,, Alameda,,,2,,,74,D+,B,B-,B
15,16,24857743,3000 Gibbons Dr,94501,Alameda,CA,37.763435,-122.2297,1888000,2,3,2032,SINGLE_FAMILY,-1,1804900,4875,623664,4965.84,sqft,3,2,2," Hardwood, Carpet, Other", Forced Air," Ceiling Fan(s), Central Air"," Dishwasher, Electric Range, Disposal, Refrigerator, Dryer, Washer", Washer/Dryer Stacked Incl,2032," 2,032 sqft"," Living Room, Wood Burning"," Attached, Off Street, Side Yard Access, Garage Faces Front",2, None," Corner Lot, Front Yard", SingleFamily, Normandy, Single Family Residence, Shingle,1926, Public Sewer, Public, Alameda," Bonus/Plus Room, Breakfast Nook",1,2,2,2,74,D+,B,B-,B
16,17,24862822,1519 Mozart St,94501,Alameda,CA,37.77374,-122.26885,1388800,3,3,2526,MULTI_FAMILY,-1,1517200,3951,1246737,7840.8,sqft,,3,, Hardwood, Floor Furnace, No Air Conditioning, Gas Water Heater,,2526," 2,526 sqft",, Off Street,,, 2 Houses / 1 Lot, MultiFamily,, Triplex,,1893,,, Alameda,,,,,,74,D+,B,B-,B
17,18,24864130,457 Central Ave APT B,94501,Alameda,CA,37.771767,-122.28343,525000,1,1,420,SINGLE_FAMILY,-1,441700,2068,70909,871.2,sqft,1,1,1," Laminate, Vinyl", Wall Furnace, Ceiling Fan(s)," Gas Range, Refrigerator", In Unit,420, 420 sqft, None, On Street,1, None," Level, Regular", SingleFamily, Cottage, Single Family Residence, Shingle,1912, Public Sewer, Public, Alameda, Stone Counters,,,,,74,D+,B,B-,B
18,19,24872522,1083 Independence Dr,94501,Alameda,CA,37.78191,-122.26576,949000,2,2,1443,CONDO,-1,916500,3899,740569,0.4,acres,2,2,2, Carpet," Forced Air, Natural Gas", None," Dishwasher, Disposal, Gas Range, Microwave, Range, Refrigerator, Dryer, Washer, Gas Water Heater"," Dryer, Washer",1443," 1,443 sqft", Wood Burning," Attached, Space Per Unit - 1, Garage Door Opener",1," In Ground, Pool/Spa Combo, Community"," Corner Lot, Level", Condo, Contemporary, Condominium, Shingle,1989, Public Sewer, Public, Alameda," Dining Area, Stone Counters, Updated Kitchen",1,1,1,1,74,D+,B,B-,B
19,20,2071614817,"Plan 1 Plan, Compass at Bay37",94501,Alameda,CA,37.791397,-122.27979,1025990,3,2,1298,CONDO,-1,1025990,4450,,0,,2,3,2,,,,,,1298," 1,298 sqft",,,,,, Condo,,,,,,, Alameda,,,2,,,74,D+,B,B-,B
20,21,2071614814,"Plan 3B Plan, Lookout at Bay37",94501,Alameda,CA,37.78971,-122.27929,845990,2,2,1102,TOWNHOUSE,-1,845990,2795,,0,,2,2,1,,,,,,1102," 1,102 sqft",,,,,, Townhouse,,,,,,, Alameda,,,1,,,74,D+,B,B-,B
21,22,2071614830,"Plan 3 Plan, Landing at Bay37",94501,Alameda,CA,37.79086,-122.27983,975990,2,3,1454,CONDO,-1,975990,4243,,0,,3,2,2,,,,,,1454," 1,454 sqft",,,,,, Condo,,,,,,, Alameda,,,2,,,74,D+,B,B-,B
22,23,24865785,4 Basinside Way,94502,Alameda,CA,37.74139,-122.243576,1380000,3,3,1926,SINGLE_FAMILY,-1,1562300,4500,1165697,5227.2,sqft,3,3,2," Tile, Carpet, Wood", Forced Air, None," Dishwasher, Disposal, Refrigerator, Gas Water Heater", Laundry Closet,1926," 1,926 sqft"," Brick, Family Room", Attached,2, None, Corner Lot, SingleFamily, Traditional, Single Family Residence, Shingle,1985, Public Sewer,, Alameda," Dining Area, Breakfast Nook, Tile Counters, Updated Kitchen",1,2,2,2,74,D+,B,B-,B
23,24,2071614818,"Plan 7 Plan, Compass at Bay37",94501,Alameda,CA,37.791397,-122.27979,1299990,3,3,1997,CONDO,-1,1299990,4243,,0,,3,3,2,,,,,,1997," 1,997 sqft",,,,,, Condo,,,,,,, Alameda,,,2,,,74,D+,B,B-,B
24,25,2071614829,"Plan 1 Plan, Landing at Bay37",94501,Alameda,CA,37.79086,-122.27983,877990,2,2,1305,CONDO,-1,877990,4380,,0,,2,2,2,,,,,,1305," 1,305 sqft",,,,,, Condo,,,,,,, Alameda,,,1,,,74,D+,B,B-,B
25,26,24864305,431 Haight Ave,94501,Alameda,CA,37.77469,-122.28448,898000,2,2,1118,SINGLE_FAMILY,-1,898000,3329,61687,4356,sqft,2,2,2, Wood, Forced Air, None," Dishwasher, Gas Range, Refrigerator", Washer/Dryer Stacked Incl,1118," 1,118 sqft", None," Detached, Off Street",1, None, Front Yard, SingleFamily, Other, Single Family Residence, Shingle,1908, Public Sewer, Public, Alameda," Bonus/Plus Room, Storage, Stone Counters",,1,1,1,74,D+,B,B-,B
26,27,24866285,1023 Tahiti Ln,94502,Alameda,CA,37.735252,-122.24246,1020000,3,3,1639,TOWNHOUSE,-1,999900,3955,630527,1742.4,sqft,3,3,2," Tile, Carpet", Forced Air, No Air Conditioning," Electric Range, Disposal, Microwave, Oven, Range, Refrigerator, Gas Water Heater"," 220 Volt Outlet, Laundry Room",1639," 1,639 sqft", Family Room," Detached, Off Street, Garage Faces Rear, Garage Door Opener",2," In Ground, Community"," Front Yard, Landscape Back, Landscape Front", Townhouse, Contemporary, Townhouse,,1972, Public Sewer, Public, Alameda," Dining Area, Breakfast Bar, Stone Counters, Kitchen Island, Updated Kitchen",1,2,2,2,74,D+,B,B-,B
27,28,2071614820,"Plan 4 Plan, Compass at Bay37",94501,Alameda,CA,37.791397,-122.27979,1104990,3,2,1551,CONDO,-1,1104990,3787,,0,,2,3,2,,,,,,1551," 1,551 sqft",,,,,, Condo,,,,,,, Alameda,,,2,,,74,D+,B,B-,B
28,29,24858380,2710 Clay St,94501,Alameda,CA,37.75503,-122.24261,1695000,3,4,2500,SINGLE_FAMILY,-1,1695000,5858,1074261,3920.4,sqft,4,3,2," Hardwood Flrs Throughout, Tile, Carpet"," Baseboard, Zoned, Natural Gas", Whole House Fan," Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Free-Standing Range, Refrigerator, Dryer, Washer, Gas Water Heater, Tankless Water Heater, ENERGY STAR Qualified Appliances"," Dryer, In Garage, Washer",2500," 2,500 sqft"," Brick, Living Room"," Attached, Int Access From Garage",3, None, Level, SingleFamily, Spanish, Single Family Residence,,1925, Public Sewer, Public, Alameda," Den, Kitchen/Family Combo, Storage, Breakfast Bar, Stone Counters, Eat-in Kitchen, Updated Kitchen",1,2,2,2,74,D+,B,B-,B
29,30,24858837,1628 Broadway,94501,Alameda,CA,37.765377,-122.23634,995000,1,2,1219,SINGLE_FAMILY,-1,1191000,3195,693071,3920.4,sqft,2,1,1," Hardwood, Tile", Forced Air, None," Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Free-Standing Range, Refrigerator, Self Cleaning Oven, Dryer, Washer, Tankless Water Heater, ENERGY STAR Qualified Appliances"," 220 Volt Outlet, Dryer, Gas Dryer Hookup, Laundry Room, Washer",1219," 1,219 sqft"," Brick, Living Room, Wood Burning", Off Street,1, None," Level, Regular", SingleFamily," Bungalow,Craftsman", Single Family Residence, Shingle,1918, Public Sewer, Public, Alameda," Breakfast Bar, Counter - Solid Surface",1,,,,74,D+,B,B-,B
30,31,24871612,266 Centre Ct,94502,Alameda,CA,37.745945,-122.23912,895000,3,2,1720,CONDO,-1,904600,3979,826200,1.6,acres,2,3,2," Hardwood, Tile, Vinyl, Carpet", Electric, No Air Conditioning," Dishwasher, Electric Range, Disposal, Refrigerator, Dryer, Washer, Gas Water Heater"," Dryer, Laundry Closet, Washer",1720," 1,720 sqft"," Gas, Living Room"," Carport, Covered, Parking Spaces, Secured, Guest",2, None," Corner Lot, Court", Condo, Brown Shingle, Condominium, Shingle,1982, Public Sewer, Public, Alameda," Dining Area, Storage, Counter - Solid Surface, Updated Kitchen",1,1,,1,74,D+,B,B-,B
31,32,299074913,1234 Pease Ct,94501,Alameda,CA,37.759518,-122.240395,995000,2,2,1434,MULTI_FAMILY,-1,995000,2483,919773,2613.6,sqft,2,2,," Hardwood, Tile, Vinyl", Other, Ceiling Fan(s)," Dryer, Washer, Gas Water Heater"," Dryer, Laundry Closet, Washer",1434," 1,434 sqft",," Off Street, Other, No Garage, On Street",,," 2 Houses / 1 Lot, Court, Level, Regular, Landscape Back", MultiFamily,, 2 Houses 1 Lot,,1895,,, Alameda," Updated Baths, Updated Kitchen, Storage, Tub w/Shower Over",,2,,,74,D+,B,B-,B
32,33,24859424,1102 Park St,94501,Alameda,CA,37.760006,-122.24594,995000,2,2,1147,SINGLE_FAMILY,-1,1027500,3449,687724,2923,sqft,2,2,2," Carpet, Laminate, Wood"," Fireplace Insert, Gas, Heat Pump, Wall Furnace"," Ductless, Heat Pump, Multi Units, Window Unit(s)"," Dishwasher, Disposal, Free-Standing Gas Range, Free-Standing Refrigerator, Range Hood, Dryer, Washer", Laundry Closet,1147," 1,147 sqft", Insert," Garage Door Opener, Garage Faces Front, Uncovered Parking Space",1,," Landscape Back, Other", SingleFamily, Craftsman, Single Family Residence," Composition,Shingle",1907,, Water District, Alameda,,1,2,1,1,74,D+,B,B-,B
33,34,2064182617,"Plan 2 Plan, Landing at Bay37",94501,Alameda,CA,37.79086,-122.27983,915990,0,2,1344,CONDO,-1,915990,5000,,0,,2,0,,,,,,,1344," 1,344 sqft",,,,,, Condo,,,,,,, Alameda,,,2,,,74,D+,B,B-,B
34,35,24858029,1900 Harvard Dr,94501,Alameda,CA,37.765427,-122.228516,1525000,2,3,1525,SINGLE_FAMILY,-1,1466700,4028,1026260,4356,sqft,3,2,2," Hardwood, Vinyl, Carpet", Forced Air, None," Dishwasher, Gas Range, Refrigerator, Dryer, Washer, Gas Water Heater"," 220 Volt Outlet, Dryer, Laundry Room, Washer",1525," 1,525 sqft"," Brick, Living Room, Wood Burning"," Detached, Garage Door Opener",, None," Corner Lot, Level", SingleFamily, Ranch, Single Family Residence,,1940,,, Alameda," Breakfast Nook, Stone Counters, Eat-in Kitchen",2,2,2,2,74,D+,B,B-,B
35,36,24866080,3116 El Portal,94502,Alameda,CA,37.736004,-122.24435,891000,3,4,1628,TOWNHOUSE,-1,891000,3955,498363,1742.4,sqft,4,3,2," Laminate, Linoleum, Carpet", Forced Air, None," Dishwasher, Disposal, Gas Range, Free-Standing Range, Refrigerator, Gas Water Heater"," 220 Volt Outlet, Hookups Only",1628," 1,628 sqft", Wood Burning," Detached, Garage Faces Rear",2," In Ground, Community"," Regular, Landscape Front", Townhouse, Contemporary, Townhouse, Shingle,1968, Public Sewer, Public, Alameda, Counter - Solid Surface,1,2,2,2,74,D+,B,B-,B
36,37,24873026,1 Ferro Ct,94502,Alameda,CA,37.73329,-122.24871,1495000,3,3,2030,SINGLE_FAMILY,-1,1495000,4699,1054128,3920.4,sqft,3,3,2," Linoleum, Tile, Carpet", Forced Air, None," Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Range, Refrigerator, Dryer, Washer, Gas Water Heater"," Dryer, Gas Dryer Hookup, Laundry Room, Washer",2030," 2,030 sqft"," Insert, Gas Starter"," Attached, Int Access From Garage, Off Street, Side Yard Access, Enclosed, Garage Faces Front",2, None, Corner Lot, SingleFamily, Contemporary, Single Family Residence,,1995, Public Sewer, Public, Alameda," Stone Counters, Updated Kitchen",,4,2,2,74,D+,B,B-,B
37,38,24869589,568 Central Ave,94501,Alameda,CA,37.77119,-122.27952,1495000,2,6,2112,MULTI_FAMILY,-1,1495000,5175,1085688,2888.028,sqft,6,,," Laminate, Tile, Vinyl / Linoleum", Central Forced Air - Gas, None," Gas Cooktop, Dishwasher, Refrigerator, Washer/Dryer", Hookups Only,2112," 2,112 sqft",, Attached,2,," Low Maintenance, City Lot", MultiFamily,," Multi Family, Duplex", Shingle,1989, Public Sewer," Individual Water Meter, Public", Alameda," Storage, High Ceilings",,,4,4,74,D+,B,B-,B
38,39,24861212,1705 Pacific Ave,94501,Alameda,CA,37.773624,-122.254265,1325000,5,8,3388,MULTI_FAMILY,-1,1325000,2395,251098,5401.44,sqft,8,5,3," Laminate, Other", Other, Other,,,3388," 3,388 sqft",," Side By Side, Garage, Other",3,,, MultiFamily,, Triplex,,1896,,, Alameda,,,2,,,74,D+,B,B-,B
39,40,18426824,2211 Granite Dr,94507,Alamo,CA,37.860725,-122.01537,2390000,3,4,3020,SINGLE_FAMILY,-1,2490014,7241,2144402,0.5,acres,4,3,3, Tile, Forced Air, Central Air," Dishwasher, Disposal, Gas Range, Microwave, Refrigerator"," 220 Volt Outlet, Hookups Only, Laundry Room",3020," 3,020 sqft"," Family Room, Gas"," Detached, Off Street, RV Possible",1, None," Premium Lot, Sloped Up", SingleFamily, Ranch, Single Family Residence, Shingle,1960, Public Sewer, Public, Alamo," Tile Counters, Kitchen Island, Pantry, Updated Kitchen",1,2,2,2,81,A,A+,D,A+
40,41,18422196,100 Post Rd,94507,Alamo,CA,37.879696,-122.05312,1899000,3,4,2352,SINGLE_FAMILY,-1,1899000,5000,186719,0.49,acres,4,3,3," Hardwood, Tile, Vinyl", Forced Air, Central Air," Dishwasher, Disposal, Range, Dryer, Washer, Gas Water Heater"," Dryer, In Garage, Washer",2352," 2,352 sqft"," Brick, Family Room, Living Room, Wood Burning", Attached,1," In Ground, Outdoor Pool"," Corner Lot, Front Yard, Landscape Back, Landscape Front", SingleFamily, Ranch, Single Family Residence, Shingle,1963, Public Sewer, Public, Alamo," Dining Area, Laminate Counters",1,2,2,2,81,A,A+,D,A+
41,42,18421847,12 Scripps Haven Ln,94507,Alamo,CA,37.877285,-122.04967,2295000,3,5,3200,SINGLE_FAMILY,-1,2295014,7496,665982,0.55,acres,5,3,3," Hardwood, Tile, Carpet"," Zoned, Natural Gas", Zoned," Dishwasher, Double Oven, Disposal, Gas Range, Plumbed For Ice Maker, Microwave, Oven, Range, Refrigerator, Dryer, Washer, Gas Water Heater"," Dryer, Laundry Room, Washer, Cabinets",3200," 3,200 sqft"," Family Room, Raised Hearth"," Attached, Garage, Int Access From Garage, Off Street, Parking Spaces, Guest, Enclosed, Garage Faces Side, Garage Door Opener",2, None," Court, Cul-De-Sac, Level, Premium Lot, Secluded, Front Yard, Pool Site, Private, Security Gate", SingleFamily," Cape Cod,Custom", Single Family Residence, Shingle,1986, Public Sewer, Public, Alamo," Bonus/Plus Room, Dining Area, Kitchen/Family Combo, Breakfast Bar, Breakfast Nook, Stone Counters, Eat-in Kitchen, Kitchen Island, Updated Kitchen",1,3,3,3,81,A,A+,D,A+
42,43,18429142,1836 Fallbrook Dr,94507,Alamo,CA,37.844643,-121.96302,3198000,4,4,3814,SINGLE_FAMILY,-1,3198019,7303,1805333,0.5,acres,4,4,3," Hardwood, Tile, Vinyl, Carpet", Zoned, Central Air," Dishwasher, Double Oven, Disposal, Gas Range, Microwave, Oven, Range, Refrigerator, Trash Compactor, Gas Water Heater"," Hookups Only, Inside",3814," 3,814 sqft"," Family Room, Gas"," Attached, Garage, Int Access From Garage, Off Street, Side Yard Access, Garage Door Opener",2," Gas Heat, In Ground, Pool Sweep, Pool/Spa Combo, Outdoor Pool"," Cul-De-Sac, Premium Lot, Vineyard, Landscape Back, Landscape Front, Private", SingleFamily, Traditional, Single Family Residence, Shingle,1987, Public Sewer, Public, Alamo," Dining Area, Breakfast Nook, Stone Counters, Eat-in Kitchen, Kitchen Island, Updated Kitchen",1,3,3,3,81,A,A+,D,A+
43,44,18429241,153 Marks Rd,94507,Alamo,CA,37.84199,-121.99249,1899999,1,3,1407,SINGLE_FAMILY,-1,1900000,4440,1283055,1.09,acres,3,1,1, None, Forced Air, Central Air,, Hookups Only,1407," 1,407 sqft", None, Carport,1, Possible Pool Site," Horses Possible, Premium Lot, Private", SingleFamily, Ranch, Single Family Residence,,1951, Public Sewer,, Alamo,,,,,,81,A,A+,D,A+
44,45,109168367,334 Alamo Square Dr,94507,Alamo,CA,37.84843,-122.03033,950000,2,2,1303,TOWNHOUSE,-1,1000001,3495,320698,1943,sqft,2,2,2," Carpet, Tile, Wood"," Central, Fireplace(s)", Central Air," Dishwasher, Disposal, Free-Standing Electric Range, Free-Standing Refrigerator, Gas Water Heater, Dryer, Washer", Electric,1303," 1,303 sqft"," Brick, Living Room, Wood Burning"," Detached, Garage Door Opener, Guest",1," Built-In, Fenced, Association"," Low Maintenance, Paved Sidewalk", Townhouse, Traditional, Townhouse, Composition,1975, Public Sewer, Public, Alamo, Cathedral Ceiling(s),1,2,2,2,81,A,A+,D,A+
45,46,18426787,2990 Limestone Rd,94507,Alamo,CA,37.85838,-122.01883,3995000,5,4,4496,SINGLE_FAMILY,-1,3995000,9618,1600000,0.514,acres,4,5,4, Hardwood Flrs Throughout, Central, New Construction Option," Dishwasher, Disposal, Gas Range, Microwave, Range, Refrigerator"," 220 Volt Outlet, Laundry Room",4496," 4,496 sqft", Family Room," Garage Faces Front, Garage Faces Side",1, None, Level, SingleFamily, Mediterranean, Single Family Residence,,2023, Public Sewer,, Alamo," Bonus/Plus Room, Breakfast Nook, Stone Counters, Eat-in Kitchen, Kitchen Island",1,6,4,4,81,A,A+,D,A+
46,47,18426069,114 S Jackson Way,94507,Alamo,CA,37.853634,-122.030754,2398888,3,4,2478,SINGLE_FAMILY,-1,2398900,6492,137082,0.46,acres,4,3,2," Tile, Vinyl", Forced Air, Central Air," Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Free-Standing Range, Gas Water Heater"," Hookups Only, In Garage",2478," 2,478 sqft"," Family Room, Wood Burning"," Attached, Int Access From Garage, RV/Boat Parking, Side Yard Access",1, None, Premium Lot, SingleFamily, Contemporary, Single Family Residence, Shingle,1974, Public Sewer, Public, Alamo," Stone Counters, Pantry, Updated Kitchen",2,2,2,2,81,A,A+,D,A+
47,48,18430537,14 Hagen Oaks Ct,94507,Alamo,CA,37.849743,-122.00521,2649000,3,4,2260,SINGLE_FAMILY,-1,2695005,6614,696210,0.6,acres,4,3,2," Hardwood, Vinyl, Carpet", Forced Air, Central Air," Dishwasher, Double Oven, Gas Range, Refrigerator", Laundry Room,2260," 2,260 sqft", Family Room, Attached,1," In Ground, Pool/Spa Combo"," Level, Premium Lot", SingleFamily, Ranch, Single Family Residence, Shingle,1976, Public Sewer, Public, Alamo," Kitchen/Family Combo, Stone Counters, Eat-in Kitchen, Updated Kitchen, Central Vacuum",1,2,2,2,81,A,A+,D,A+
48,49,18427768,431 Red Wing Dr,94507,Alamo,CA,37.85953,-121.981224,2450000,3,5,3076,SINGLE_FAMILY,-1,2450000,5000,820474,0.84,acres,5,3,2," Hardwood, Linoleum, Tile, Carpet"," Forced Air, Natural Gas, Fireplace(s)", Central Air," Dishwasher, Double Oven, Disposal, Gas Range, Plumbed For Ice Maker, Microwave, Oven, Range, Refrigerator, Self Cleaning Oven, Trash Compactor, Dryer, Washer, Gas Water Heater"," Dryer, Laundry Room, Washer",3076," 3,076 sqft"," Brick, Family Room, Gas Starter, Living Room, Raised Hearth, Stone"," Attached, Int Access From Garage, Workshop in Garage, Guest, Deck, Garage Faces Side, Garage Door Opener",1," Gas Heat, Gunite, In Ground, Pool/Spa Combo, Outdoor Pool"," Corner Lot, Court, Level, Curb(s), Fire Hydrant(s), Front Yard, Landscape Back, Landscape Front, Private", SingleFamily," Custom,Ranch", Single Family Residence, Shake,1986, Public Sewer, Public, Alamo," Breakfast Nook, Stone Counters, Kitchen Island, Pantry, Updated Kitchen, Wet Bar",2,3,3,3,81,A,A+,D,A+
